,business_classification,business_impact,business_relevance,category_id,data_confidentiality,eoldriver,extensibility,geographical_scope,has_dependencies,id,io_intensity,latency_sensitivity,no_of_users,scalability,service_level,source_code_available,stage,type,user_facing,workload_variation,dependencies.Hardware.Dependent,dependencies.Operating.Environment.Dependent,dependencies.Operating.System.Dependent,IsPassPlatAvail,IsHarwareSupported,IsOSSupported,IsPlatformSupported,IsDatabaseSupported,pivot.disposition_1
188,PRODIMP,SOME_FIN_PROD,REVGEN,22,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,INTERNATIONAL,0,565,MEDIUM,LOW,6,HORIZONTAL,PERF,1,EUMN,DESKTOP,EXTERNAL,PREDICTABLE,0,0,0,1,1,1,1,1,Develop
189,NONCRI,LARGE_FIN_COMP,RISKSUP,43,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,LOCAL,0,568,MEDIUM,HIGH,7,MIXED,BOTH,1,EUMN,THICK,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
190,NONCRI,LARGE_FIN_COMP,REVGEN,16,APPROVED_PUBLIC_DATACENTER,TE,MONOLITH,LOCAL,0,571,HIGH,MEDIUM,7,VERTICAL,NONE,0,EUMN,BATCH,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
191,MISCRI,SOME_FIN_PROD,INTSUP,67,APPROVED_PUBLIC_DATACENTER,TE,MONOLITH,INTERNATIONAL,0,574,MEDIUM,MEDIUM,6,MIXED,AVAI,0,EMAN,BATCH,INTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
192,BUSICRI,LARGE_FIN_COMP,INTSUP,28,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,NATIONAL,0,577,HIGH,MEDIUM,7,VERTICAL,NONE,0,NEW,THICK,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
193,PRODIMP,SOME_PROD,REVGEN,43,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,NATIONAL,0,580,HIGH,HIGH,6,MIXED,NONE,1,NEW,DESKTOP,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Retain
194,MISCRI,SOME_FIN_PROD,RISKSUP,46,APPROVED_PUBLIC_DATACENTER,BU,MONOLITH,LOCAL,0,583,LOW,MEDIUM,7,HORIZONTAL,NONE,0,NEW,THICK,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
195,NONCRI,SOME_PROD,REVGEN,37,APPROVED_PUBLIC_DATACENTER,BU,MONOLITH,REGIONAL,0,586,MEDIUM,MEDIUM,3,HORIZONTAL,BOTH,1,EMAN,BATCH,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
196,MISCRI,SOME_PROD,REVGEN,55,NOT_OUTSIDE_ENT_FIREWALL,BU,MONOLITH,LOCAL,0,589,HIGH,LOW,6,VERTICAL,BOTH,1,NEW,WEB,INTERNAL,UNPREDICTABLE,0,0,0,1,1,1,1,1,Modernise
197,BUSICRI,LARGE_FIN_COMP,INTSUP,4,NOT_OUTSIDE_ENT_FIREWALL,BU,SOA,LOCAL,0,592,LOW,MEDIUM,6,HORIZONTAL,NONE,1,EMAN,WEB,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
198,MISCRI,LARGE_FIN_COMP,RISKSUP,22,APPROVED_PUBLIC_DATACENTER,TE,INTERFACES,REGIONAL,0,595,HIGH,LOW,5,HORIZONTAL,BOTH,0,EMAN,WEB,INTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
199,PRODIMP,SOME_PROD,REVSUP,46,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,INTERNATIONAL,0,598,LOW,MEDIUM,3,VERTICAL,BOTH,1,NEW,THICK,INTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
200,BUSIIMP,LARGE_FIN_COMP,REVSUP,67,NOT_OUTSIDE_ENT_FIREWALL,TE,SOA,REGIONAL,0,601,MEDIUM,MEDIUM,5,VERTICAL,NONE,1,EUMN,THICK,EXTERNAL,PREDICTABLE,0,0,0,1,1,1,1,1,Modernise
201,MISCRI,LARGE_FIN_COMP,RISKSUP,25,APPROVED_PUBLIC_DATACENTER,TE,INTERFACES,LOCAL,0,604,LOW,LOW,7,VERTICAL,PERF,0,EUMN,WEB,EXTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
202,MISCRI,SOME_PROD,REVSUP,4,NOT_OUTSIDE_ENT_FIREWALL,TE,MONOLITH,LOCAL,0,607,MEDIUM,LOW,7,MIXED,PERF,1,EMAN,WEB,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,0,1,1,Retain
203,BUSIIMP,SOME_PROD,REVSUP,67,APPROVED_PUBLIC_DATACENTER,TE,MONOLITH,INTERNATIONAL,0,610,MEDIUM,LOW,7,MIXED,NONE,0,EUMN,THICK,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
204,BUSICRI,LARGE_FIN_COMP,REVSUP,37,NOT_OUTSIDE_ENT_FIREWALL,TE,SOA,NATIONAL,0,613,LOW,MEDIUM,3,HORIZONTAL,NONE,1,EMAN,BATCH,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,0,1,1,Retain
205,NONCRI,LARGE_FIN_COMP,REVSUP,64,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,INTERNATIONAL,0,616,MEDIUM,MEDIUM,7,HORIZONTAL,AVAI,0,EUMN,WEB,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
206,BUSICRI,SOME_FIN_PROD,RISKSUP,34,APPROVED_PUBLIC_DATACENTER,TE,INTERFACES,INTERNATIONAL,0,619,MEDIUM,HIGH,4,VERTICAL,NONE,0,EUMN,DESKTOP,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Retain
207,NONCRI,SOME_PROD,REVGEN,67,NO_CONFIDENTIALITY_REQUIREMENT,BU,INTERFACES,REGIONAL,0,622,HIGH,LOW,3,VERTICAL,NONE,1,EUMN,WEB,INTERNAL,NO_VARIATIOn,0,0,0,1,1,1,1,1,Modernise
208,BUSIIMP,SOME_FIN_PROD,REVSUP,49,NOT_OUTSIDE_ENT_FIREWALL,BU,MONOLITH,NATIONAL,0,625,MEDIUM,MEDIUM,4,VERTICAL,BOTH,1,EUMN,WEB,EXTERNAL,UNPREDICTABLE,0,0,0,1,1,1,1,1,Modernise
209,BUSIIMP,SOME_PROD,INTSUP,7,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,REGIONAL,0,628,HIGH,MEDIUM,5,MIXED,NONE,1,EMAN,THICK,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
210,MISCRI,SOME_FIN_PROD,REVGEN,34,NOT_OUTSIDE_ENT_FIREWALL,BU,INTERFACES,LOCAL,0,631,MEDIUM,MEDIUM,7,MIXED,AVAI,0,NEW,BATCH,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
211,PRODIMP,SOME_PROD,RISKSUP,43,APPROVED_PUBLIC_DATACENTER,TE,SOA,INTERNATIONAL,0,634,HIGH,HIGH,7,VERTICAL,NONE,1,EUMN,DESKTOP,INTERNAL,UNPREDICTABLE,0,0,0,1,1,1,1,1,Develop
212,PRODIMP,SOME_PROD,REVSUP,37,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,REGIONAL,0,637,HIGH,MEDIUM,7,MIXED,NONE,1,NEW,BATCH,INTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
213,MISCRI,SOME_PROD,REVSUP,28,NOT_OUTSIDE_ENT_FIREWALL,TE,MONOLITH,LOCAL,0,640,LOW,HIGH,5,HORIZONTAL,NONE,0,EUMN,DESKTOP,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Retain
214,PRODIMP,SOME_FIN_PROD,RISKSUP,31,APPROVED_PUBLIC_DATACENTER,BU,INTERFACES,INTERNATIONAL,0,643,MEDIUM,HIGH,7,VERTICAL,BOTH,0,EUMN,THICK,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
215,BUSIIMP,SOME_FIN_PROD,REVGEN,37,APPROVED_PUBLIC_DATACENTER,TE,SOA,REGIONAL,0,646,LOW,MEDIUM,3,VERTICAL,AVAI,1,EUMN,THICK,INTERNAL,UNPREDICTABLE,0,0,0,1,1,1,1,1,Modernise
216,PRODIMP,SOME_FIN_PROD,RISKSUP,67,APPROVED_PUBLIC_DATACENTER,TE,MONOLITH,REGIONAL,0,649,MEDIUM,MEDIUM,6,VERTICAL,NONE,1,NEW,THICK,INTERNAL,NO_VARIATIOn,0,0,0,0,1,0,1,1,Retain
217,PRODIMP,LARGE_FIN_COMP,INTSUP,7,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,REGIONAL,0,652,LOW,HIGH,5,MIXED,NONE,1,EMAN,BATCH,EXTERNAL,UNPREDICTABLE,0,0,0,1,1,1,1,1,Modernise
218,MISCRI,SOME_FIN_PROD,INTSUP,19,NO_CONFIDENTIALITY_REQUIREMENT,BU,MONOLITH,INTERNATIONAL,0,655,MEDIUM,LOW,7,VERTICAL,NONE,1,EUMN,WEB,EXTERNAL,UNPREDICTABLE,0,0,0,1,1,1,1,1,Modernise
219,BUSICRI,SOME_FIN_PROD,INTSUP,64,APPROVED_PUBLIC_DATACENTER,BU,SOA,LOCAL,0,658,LOW,HIGH,6,MIXED,NONE,1,EMAN,BATCH,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
220,BUSICRI,LARGE_FIN_COMP,REVSUP,64,NO_CONFIDENTIALITY_REQUIREMENT,BU,INTERFACES,INTERNATIONAL,0,661,HIGH,HIGH,7,MIXED,BOTH,0,EMAN,DESKTOP,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
221,PRODIMP,SOME_PROD,INTSUP,28,APPROVED_PUBLIC_DATACENTER,TE,INTERFACES,LOCAL,0,664,HIGH,HIGH,5,MIXED,PERF,1,EMAN,THICK,INTERNAL,NO_VARIATIOn,0,0,0,0,1,0,1,1,Retain
222,NONCRI,LARGE_FIN_COMP,REVGEN,61,NOT_OUTSIDE_ENT_FIREWALL,BU,INTERFACES,INTERNATIONAL,0,667,MEDIUM,MEDIUM,7,MIXED,BOTH,1,EMAN,WEB,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
223,MISCRI,SOME_PROD,REVGEN,10,NOT_OUTSIDE_ENT_FIREWALL,TE,INTERFACES,NATIONAL,0,670,LOW,LOW,6,HORIZONTAL,PERF,1,EMAN,DESKTOP,EXTERNAL,PREDICTABLE,0,0,0,1,1,1,1,1,Develop
224,PRODIMP,SOME_FIN_PROD,INTSUP,58,NO_CONFIDENTIALITY_REQUIREMENT,TE,MONOLITH,INTERNATIONAL,0,673,MEDIUM,HIGH,7,MIXED,AVAI,1,NEW,DESKTOP,EXTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
225,BUSIIMP,SOME_FIN_PROD,INTSUP,40,NOT_OUTSIDE_ENT_FIREWALL,BU,SOA,INTERNATIONAL,0,676,LOW,MEDIUM,6,HORIZONTAL,AVAI,1,EUMN,THICK,INTERNAL,UNPREDICTABLE,0,0,0,1,1,1,1,1,Modernise
226,MISCRI,SOME_FIN_PROD,RISKSUP,4,APPROVED_PUBLIC_DATACENTER,BU,SOA,NATIONAL,0,679,LOW,LOW,5,VERTICAL,BOTH,1,EUMN,WEB,EXTERNAL,NO_VARIATIOn,0,0,0,1,1,1,1,1,Modernise
227,BUSICRI,LARGE_FIN_COMP,REVSUP,43,APPROVED_PUBLIC_DATACENTER,TE,SOA,LOCAL,0,682,MEDIUM,MEDIUM,3,HORIZONTAL,AVAI,1,EMAN,BATCH,INTERNAL,NO_VARIATIOn,0,0,0,1,1,1,1,1,Modernise
228,BUSIIMP,SOME_PROD,REVGEN,31,APPROVED_PUBLIC_DATACENTER,BU,INTERFACES,LOCAL,0,685,HIGH,HIGH,6,MIXED,BOTH,1,EMAN,WEB,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
229,BUSICRI,SOME_PROD,RISKSUP,13,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,REGIONAL,0,688,LOW,MEDIUM,5,MIXED,BOTH,0,EMAN,THICK,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
230,PRODIMP,SOME_FIN_PROD,INTSUP,10,NO_CONFIDENTIALITY_REQUIREMENT,BU,INTERFACES,LOCAL,0,691,MEDIUM,MEDIUM,5,VERTICAL,BOTH,1,EMAN,WEB,EXTERNAL,PREDICTABLE,0,0,0,1,1,1,1,1,Modernise
231,NONCRI,LARGE_FIN_COMP,REVGEN,16,NOT_OUTSIDE_ENT_FIREWALL,BU,SOA,INTERNATIONAL,0,694,LOW,MEDIUM,4,HORIZONTAL,BOTH,0,EUMN,DESKTOP,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Retain
232,PRODIMP,LARGE_FIN_COMP,REVSUP,34,APPROVED_PUBLIC_DATACENTER,TE,MONOLITH,LOCAL,0,697,LOW,HIGH,6,MIXED,AVAI,1,EUMN,DESKTOP,EXTERNAL,UNPREDICTABLE,0,0,0,1,1,1,1,1,Develop
233,BUSICRI,SOME_FIN_PROD,INTSUP,61,APPROVED_PUBLIC_DATACENTER,BU,SOA,NATIONAL,0,700,HIGH,MEDIUM,4,MIXED,PERF,0,EUMN,WEB,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
234,BUSIIMP,LARGE_FIN_COMP,INTSUP,28,NOT_OUTSIDE_ENT_FIREWALL,TE,SOA,INTERNATIONAL,0,703,MEDIUM,HIGH,4,MIXED,NONE,0,NEW,DESKTOP,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Retain
235,NONCRI,SOME_PROD,REVSUP,40,APPROVED_PUBLIC_DATACENTER,BU,MONOLITH,INTERNATIONAL,0,706,HIGH,MEDIUM,5,HORIZONTAL,BOTH,0,NEW,WEB,INTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
236,NONCRI,SOME_FIN_PROD,INTSUP,67,APPROVED_PUBLIC_DATACENTER,TE,MONOLITH,REGIONAL,0,709,MEDIUM,HIGH,7,MIXED,BOTH,1,NEW,DESKTOP,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Retain
237,NONCRI,SOME_PROD,RISKSUP,61,APPROVED_PUBLIC_DATACENTER,BU,SOA,LOCAL,0,712,HIGH,LOW,3,VERTICAL,AVAI,1,EUMN,WEB,INTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
238,BUSICRI,LARGE_FIN_COMP,INTSUP,49,NO_CONFIDENTIALITY_REQUIREMENT,TE,MONOLITH,INTERNATIONAL,0,715,HIGH,HIGH,6,VERTICAL,NONE,1,EUMN,BATCH,EXTERNAL,PREDICTABLE,0,0,0,1,1,1,1,1,Modernise
239,BUSICRI,SOME_PROD,RISKSUP,31,NO_CONFIDENTIALITY_REQUIREMENT,TE,MONOLITH,REGIONAL,0,718,LOW,LOW,3,MIXED,AVAI,1,EMAN,THICK,INTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
240,BUSICRI,SOME_FIN_PROD,RISKSUP,16,NOT_OUTSIDE_ENT_FIREWALL,TE,MONOLITH,REGIONAL,0,721,MEDIUM,HIGH,3,VERTICAL,BOTH,1,EMAN,THICK,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
241,NONCRI,SOME_FIN_PROD,RISKSUP,25,APPROVED_PUBLIC_DATACENTER,BU,MONOLITH,NATIONAL,0,724,MEDIUM,MEDIUM,7,HORIZONTAL,BOTH,0,NEW,BATCH,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
242,NONCRI,LARGE_FIN_COMP,REVGEN,67,NO_CONFIDENTIALITY_REQUIREMENT,BU,MONOLITH,LOCAL,0,727,HIGH,LOW,7,HORIZONTAL,BOTH,1,EMAN,WEB,INTERNAL,UNPREDICTABLE,0,0,0,1,1,1,1,1,Modernise
243,BUSICRI,SOME_FIN_PROD,INTSUP,43,APPROVED_PUBLIC_DATACENTER,TE,INTERFACES,NATIONAL,0,730,HIGH,HIGH,6,HORIZONTAL,AVAI,1,NEW,DESKTOP,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Retain
244,BUSIIMP,SOME_FIN_PROD,REVSUP,25,NOT_OUTSIDE_ENT_FIREWALL,TE,INTERFACES,INTERNATIONAL,0,733,HIGH,HIGH,3,MIXED,NONE,1,NEW,BATCH,EXTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
245,PRODIMP,SOME_FIN_PROD,INTSUP,13,APPROVED_PUBLIC_DATACENTER,BU,INTERFACES,INTERNATIONAL,0,736,HIGH,HIGH,6,MIXED,BOTH,1,EMAN,BATCH,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
246,MISCRI,SOME_FIN_PROD,REVSUP,58,APPROVED_PUBLIC_DATACENTER,TE,MONOLITH,REGIONAL,0,739,HIGH,LOW,4,MIXED,BOTH,0,EMAN,THICK,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
247,BUSICRI,SOME_FIN_PROD,REVGEN,31,NOT_OUTSIDE_ENT_FIREWALL,TE,INTERFACES,NATIONAL,0,742,LOW,MEDIUM,4,VERTICAL,AVAI,1,NEW,THICK,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
248,MISCRI,SOME_FIN_PROD,INTSUP,61,NOT_OUTSIDE_ENT_FIREWALL,BU,SOA,INTERNATIONAL,0,745,LOW,MEDIUM,7,MIXED,AVAI,1,EMAN,WEB,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,0,1,1,Retain
249,BUSICRI,SOME_PROD,REVGEN,40,NO_CONFIDENTIALITY_REQUIREMENT,BU,MONOLITH,LOCAL,0,748,LOW,HIGH,5,HORIZONTAL,PERF,1,EMAN,WEB,EXTERNAL,PREDICTABLE,0,0,0,1,1,1,1,1,Modernise
250,MISCRI,LARGE_FIN_COMP,REVGEN,22,APPROVED_PUBLIC_DATACENTER,TE,MONOLITH,REGIONAL,0,751,HIGH,LOW,6,MIXED,BOTH,1,NEW,WEB,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
251,MISCRI,SOME_PROD,RISKSUP,25,APPROVED_PUBLIC_DATACENTER,BU,SOA,INTERNATIONAL,0,754,HIGH,HIGH,3,VERTICAL,AVAI,0,EMAN,DESKTOP,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
252,NONCRI,SOME_PROD,INTSUP,64,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,NATIONAL,0,757,LOW,MEDIUM,6,VERTICAL,BOTH,1,EUMN,THICK,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
253,PRODIMP,SOME_FIN_PROD,REVGEN,7,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,REGIONAL,0,760,LOW,HIGH,6,VERTICAL,PERF,0,EMAN,DESKTOP,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Retain
254,BUSICRI,SOME_FIN_PROD,REVGEN,10,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,LOCAL,0,763,LOW,MEDIUM,6,HORIZONTAL,NONE,1,EUMN,THICK,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
255,PRODIMP,LARGE_FIN_COMP,REVSUP,61,NOT_OUTSIDE_ENT_FIREWALL,BU,SOA,INTERNATIONAL,0,766,HIGH,LOW,6,MIXED,NONE,1,EMAN,WEB,EXTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
256,PRODIMP,LARGE_FIN_COMP,REVSUP,4,NO_CONFIDENTIALITY_REQUIREMENT,BU,MONOLITH,LOCAL,0,769,MEDIUM,HIGH,3,VERTICAL,AVAI,0,NEW,WEB,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
257,BUSICRI,SOME_FIN_PROD,RISKSUP,52,NOT_OUTSIDE_ENT_FIREWALL,BU,INTERFACES,INTERNATIONAL,0,772,LOW,LOW,5,MIXED,NONE,0,EMAN,WEB,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
258,PRODIMP,SOME_FIN_PROD,INTSUP,40,APPROVED_PUBLIC_DATACENTER,BU,INTERFACES,INTERNATIONAL,0,775,HIGH,LOW,3,VERTICAL,BOTH,1,NEW,WEB,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
259,NONCRI,SOME_PROD,REVSUP,34,NO_CONFIDENTIALITY_REQUIREMENT,BU,MONOLITH,INTERNATIONAL,0,778,MEDIUM,LOW,6,MIXED,AVAI,1,NEW,DESKTOP,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Retain
260,BUSICRI,SOME_PROD,REVSUP,34,APPROVED_PUBLIC_DATACENTER,TE,INTERFACES,LOCAL,0,781,MEDIUM,HIGH,7,HORIZONTAL,BOTH,1,NEW,THICK,INTERNAL,PREDICTABLE,0,0,0,1,1,1,1,1,Modernise
261,BUSIIMP,SOME_PROD,RISKSUP,34,NOT_OUTSIDE_ENT_FIREWALL,BU,MONOLITH,NATIONAL,0,784,MEDIUM,LOW,4,VERTICAL,BOTH,0,EMAN,WEB,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
262,BUSIIMP,LARGE_FIN_COMP,REVSUP,10,NO_CONFIDENTIALITY_REQUIREMENT,TE,SOA,REGIONAL,0,787,LOW,MEDIUM,3,MIXED,BOTH,1,EMAN,DESKTOP,INTERNAL,UNPREDICTABLE,0,0,0,1,1,1,1,1,Develop
263,PRODIMP,LARGE_FIN_COMP,RISKSUP,13,NOT_OUTSIDE_ENT_FIREWALL,BU,MONOLITH,LOCAL,0,790,HIGH,HIGH,4,HORIZONTAL,NONE,1,EUMN,WEB,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
264,NONCRI,SOME_FIN_PROD,REVGEN,67,NOT_OUTSIDE_ENT_FIREWALL,BU,MONOLITH,NATIONAL,0,793,MEDIUM,LOW,4,HORIZONTAL,BOTH,1,NEW,THICK,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
265,MISCRI,SOME_PROD,REVSUP,31,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,LOCAL,0,796,LOW,HIGH,6,MIXED,BOTH,0,NEW,DESKTOP,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Retain
266,NONCRI,SOME_FIN_PROD,INTSUP,67,NOT_OUTSIDE_ENT_FIREWALL,BU,SOA,INTERNATIONAL,0,799,HIGH,LOW,4,HORIZONTAL,NONE,1,NEW,DESKTOP,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Retain
267,BUSIIMP,SOME_FIN_PROD,REVGEN,19,APPROVED_PUBLIC_DATACENTER,BU,INTERFACES,LOCAL,0,802,LOW,HIGH,3,HORIZONTAL,PERF,1,EUMN,WEB,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
268,BUSICRI,SOME_FIN_PROD,REVSUP,49,APPROVED_PUBLIC_DATACENTER,BU,SOA,LOCAL,0,805,MEDIUM,LOW,6,MIXED,PERF,0,NEW,BATCH,INTERNAL,NO_VARIATIOn,0,0,0,0,1,0,1,1,Retain
269,MISCRI,LARGE_FIN_COMP,RISKSUP,67,APPROVED_PUBLIC_DATACENTER,BU,MONOLITH,INTERNATIONAL,0,808,LOW,LOW,3,HORIZONTAL,NONE,1,EMAN,THICK,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
270,MISCRI,LARGE_FIN_COMP,REVSUP,34,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,NATIONAL,0,811,LOW,HIGH,5,HORIZONTAL,PERF,0,EMAN,DESKTOP,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Retain
271,PRODIMP,LARGE_FIN_COMP,INTSUP,34,NO_CONFIDENTIALITY_REQUIREMENT,TE,SOA,REGIONAL,0,814,LOW,MEDIUM,6,HORIZONTAL,BOTH,0,EUMN,WEB,EXTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
272,NONCRI,LARGE_FIN_COMP,INTSUP,16,NO_CONFIDENTIALITY_REQUIREMENT,TE,MONOLITH,NATIONAL,0,817,LOW,MEDIUM,3,MIXED,NONE,1,EMAN,DESKTOP,EXTERNAL,NO_VARIATIOn,0,0,0,1,1,1,1,1,Develop
273,NONCRI,SOME_PROD,REVGEN,34,APPROVED_PUBLIC_DATACENTER,BU,MONOLITH,LOCAL,0,820,LOW,HIGH,3,HORIZONTAL,NONE,0,EUMN,BATCH,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
274,BUSICRI,SOME_PROD,REVGEN,49,NOT_OUTSIDE_ENT_FIREWALL,TE,MONOLITH,REGIONAL,0,823,HIGH,HIGH,3,VERTICAL,AVAI,1,EMAN,THICK,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
275,PRODIMP,LARGE_FIN_COMP,REVGEN,52,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,NATIONAL,0,826,MEDIUM,MEDIUM,5,VERTICAL,NONE,0,NEW,DESKTOP,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Retain
276,NONCRI,LARGE_FIN_COMP,REVSUP,67,APPROVED_PUBLIC_DATACENTER,BU,MONOLITH,NATIONAL,0,829,MEDIUM,MEDIUM,3,MIXED,AVAI,1,NEW,THICK,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
277,BUSIIMP,SOME_FIN_PROD,REVSUP,61,APPROVED_PUBLIC_DATACENTER,BU,MONOLITH,INTERNATIONAL,0,832,HIGH,MEDIUM,4,VERTICAL,PERF,1,EUMN,WEB,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
278,MISCRI,SOME_PROD,REVGEN,13,NO_CONFIDENTIALITY_REQUIREMENT,BU,MONOLITH,INTERNATIONAL,0,835,LOW,MEDIUM,7,HORIZONTAL,BOTH,1,NEW,THICK,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
279,NONCRI,SOME_PROD,INTSUP,13,NO_CONFIDENTIALITY_REQUIREMENT,BU,INTERFACES,REGIONAL,0,838,MEDIUM,MEDIUM,4,MIXED,AVAI,1,EUMN,WEB,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
280,NONCRI,SOME_FIN_PROD,RISKSUP,37,NOT_OUTSIDE_ENT_FIREWALL,TE,INTERFACES,LOCAL,0,841,MEDIUM,LOW,4,MIXED,PERF,1,EUMN,WEB,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
281,PRODIMP,SOME_PROD,REVGEN,67,NO_CONFIDENTIALITY_REQUIREMENT,TE,SOA,NATIONAL,0,844,MEDIUM,LOW,3,VERTICAL,PERF,1,NEW,THICK,INTERNAL,NO_VARIATIOn,0,0,0,0,1,0,1,1,Retain
